pci,distance_ft,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,219,5
1,10,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,290,-1
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,228,5
1,10,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,278,-1
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,234,5
1,10,12,1.0,0,0,0,0,0,0,32.5,ovl,1,27,4900.0,1,0,0,0,265,1
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,208,5
1,10,13,1.0,0,0,0,0,0,0,34.2,-1.2,1,27,4900.0,1,0,0,0,249,3
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,215,5
1,10,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,265,3
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,223,5
1,10,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,279,3
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,220,5
1,10,12,1.0,0,0,0,0,0,0,33.4,-10.2,1,27,4900.0,1,0,0,0,282,6
1,1,15,1.0,0,0,0,0,0,0,4.2,ovl,1,1,1700.0,1,0,0,0,218,6
